country,total_population,gdp,defense_budget,external_debt,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,trainer_aircraft,special_mission_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,self_propelled_artillery,towed_artillery,rocket_artillery,power_index
Sri Lanka,"21,982,608","$301,407,000,000 USD","$1,500,000,000 USD","$42,198,000,000 USD","10,551,652","346,000","90,000","26,000","150,000","40,000","Stock: 90			
Readiness: 50*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 6 (6.7%)

Readiness: 3*","Stock: 15 (16.7%)

Readiness: 8*","Stock: 49 (54.4%)

Readiness: 27*","Stock: 7 (7.8%)

Readiness: 4*","Stock: 3 (3.3%)

Readiness: 2*","Stock: 8 (8.9%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*",275,0,0,0,5,0,0,259,0,"Stock: 87				
Readiness: 52*","Stock: 0				
Readiness: 0*","Stock: 96				
Readiness: 58*","Stock: 28				
Readiness: 17*",1.3822
Croatia,"4,150,116","$164,825,000,000 USD","$2,744,000,000 USD","$60,500,000,000 USD","2,033,557","14,325","20,100","1,500","7,000","1,365","Stock: 67			
Readiness: 50*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 12 (17.9%)

Readiness: 9*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 37 (55.2%)

Readiness: 28*","Stock: 26 (38.8%)

Readiness: 20*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",30,0,0,0,0,0,0,11,1,"Stock: 55				
Readiness: 44*","Stock: 25				
Readiness: 20*","Stock: 42				
Readiness: 34*","Stock: 42				
Readiness: 34*",1.5432
Suriname,"646,758","$12,316,000,000 USD","$58,440,000 USD","$2,645,000,000 USD","142,287","2,500",0,150,"1,000",250,"Stock: 3			
Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 3 (100.0%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",17,0,0,0,0,0,0,17,0,"Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",4.0538
Netherlands,"17,772,378","$1,276,000,000,000 USD","$31,791,150,000 USD","$5,257,949,730,000 USD","7,997,570","44,245","8,510","9,500","53,212","24,822","Stock: 130			
Readiness: 91*","Stock: 38 (29.2%)

Readiness: 27*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 4 (3.1%)

Readiness: 3*","Stock: 67 (51.5%)

Readiness: 47*","Stock: 21 (16.2%)

Readiness: 15*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 16 (12.3%)

Readiness: 11*","Stock: 0 (0.0%)

Readiness: 0*",140,0,0,0,6,0,3,76,3,"Stock: 18				
Readiness: 13*","Stock: 46				
Readiness: 32*","Stock: 0				
Readiness: 0*","Stock: 4				
Readiness: 3*",0.6142
Czech Republic,"10,837,890","$521,928,000,000 USD","$9,174,000,000 USD","$232,320,000,000 USD","5,093,808","30,334","4,900","3,120","13,000",0,"Stock: 103			
Readiness: 77*","Stock: 16 (15.5%)

Readiness: 12*","Stock: 12 (11.7%)

Readiness: 9*","Stock: 10 (9.7%)

Readiness: 8*","Stock: 42 (40.8%)

Readiness: 32*","Stock: 21 (20.4%)

Readiness: 16*","Stock: 2 (1.9%)

Readiness: 2*","Stock: 4 (3.9%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 20				
Readiness: 14*","Stock: 53				
Readiness: 37*","Stock: 0				
Readiness: 0*","Stock: 16				
Readiness: 11*",1.0313
Ethiopia,"118,550,298","$380,895,000,000 USD","$3,720,968,976 USD","$25,426,000,000 USD","56,904,143","503,000","138,000","5,000","626,000","11,500","Stock: 104			
Readiness: 62*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 25 (24.0%)

Readiness: 15*","Stock: 9 (8.7%)

Readiness: 5*","Stock: 33 (31.7%)

Readiness: 20*","Stock: 34 (32.7%)

Readiness: 20*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 7 (6.7%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 338				
Readiness: 220*","Stock: 142				
Readiness: 92*","Stock: 469				
Readiness: 305*","Stock: 79				
Readiness: 51*",0.8525
South Sudan,"12,703,714","$6,752,000,000 USD","$30,700,000 USD","$2,722,500,000 USD","6,351,857","185,000",0,230,"184,120",325,"Stock: 19			
Readiness: 9*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 4 (21.1%)

Readiness: 2*","Stock: 15 (78.9%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 6 (31.6%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 122				
Readiness: 67*","Stock: 24				
Readiness: 13*","Stock: 0				
Readiness: 0*","Stock: 15				
Readiness: 8*",2.4645
Spain,"47,280,433","$2,361,000,000,000 USD","$39,000,676,350 USD","$2,830,012,130,000 USD","21,748,999","121,802","24,033","23,000","85,978","20,840","Stock: 440			
Readiness: 286*","Stock: 12 (2.7%)

Readiness: 8*","Stock: 136 (30.9%)

Readiness: 88*","Stock: 51 (11.6%)

Readiness: 33*","Stock: 169 (38.4%)

Readiness: 110*","Stock: 108 (24.5%)

Readiness: 70*","Stock: 8 (1.8%)

Readiness: 5*","Stock: 17 (3.9%)

Readiness: 11*","Stock: 0 (0.0%)

Readiness: 0*",175,1,0,0,11,0,2,112,6,"Stock: 298				
Readiness: 209*","Stock: 96				
Readiness: 67*","Stock: 188				
Readiness: 132*","Stock: 0				
Readiness: 0*",0.3247
Nigeria,"236,747,130","$1,318,000,000,000 USD","$3,900,000,000 USD","$45,009,000,000 USD","125,475,979","230,000",0,"18,000","1,960,000","11,000","Stock: 159			
Readiness: 87*","Stock: 24 (15.1%)

Readiness: 13*","Stock: 14 (8.8%)

Readiness: 8*","Stock: 12 (7.5%)

Readiness: 7*","Stock: 69 (43.4%)

Readiness: 38*","Stock: 28 (17.6%)

Readiness: 15*","Stock: 12 (7.5%)

Readiness: 7*","Stock: 15 (9.4%)

Readiness: 8*","Stock: 0 (0.0%)

Readiness: 0*",152,0,0,0,1,0,0,132,2,"Stock: 330				
Readiness: 182*","Stock: 40				
Readiness: 22*","Stock: 339				
Readiness: 186*","Stock: 37				
Readiness: 20*",0.6097
Mauritania,"4,328,040","$33,069,000,000 USD","$270,625,000 USD","$3,072,000,000 USD","1,687,936","31,540","66,000","1,105","102,540","1,500","Stock: 23			
Readiness: 10*","Stock: 4 (17.4%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 7 (30.4%)

Readiness: 3*","Stock: 4 (17.4%)

Readiness: 2*","Stock: 6 (26.1%)

Readiness: 3*","Stock: 2 (8.7%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",6,0,0,0,0,0,0,6,0,"Stock: 51				
Readiness: 26*","Stock: 0				
Readiness: 0*","Stock: 75				
Readiness: 38*","Stock: 0				
Readiness: 0*",2.7919
