country,total_population,gdp,defense_budget,external_debt,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,trainer_aircraft,special_mission_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,self_propelled_artillery,towed_artillery,rocket_artillery,power_index
Sri Lanka,21982608.0,301407000000.0,1500000000.0,42198000000.0,10551652.0,346000.0,90000.0,26000.0,150000.0,40000.0,90.0,0.0,6.0,15.0,49.0,7.0,3.0,8.0,0.0,275.0,0.0,0.0,0.0,5.0,0.0,0.0,259.0,0.0,87.0,0.0,96.0,28.0,1.3822
Croatia,4150116.0,164825000000.0,2744000000.0,60500000000.0,2033557.0,14325.0,20100.0,1500.0,7000.0,1365.0,67.0,0.0,12.0,0.0,37.0,26.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,55.0,25.0,42.0,42.0,1.5432
Suriname,646758.0,12316000000.0,58440000.0,2645000000.0,142287.0,2500.0,0.0,150.0,1000.0,250.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,4.0538
Netherlands,17772378.0,1276000000000.0,31791150000.0,5257949730000.0,7997570.0,44245.0,8510.0,9500.0,53212.0,24822.0,130.0,38.0,0.0,4.0,67.0,21.0,0.0,16.0,0.0,140.0,0.0,0.0,0.0,6.0,0.0,3.0,76.0,3.0,18.0,46.0,0.0,4.0,0.6142
Czech Republic,10837890.0,521928000000.0,9174000000.0,232320000000.0,5093808.0,30334.0,4900.0,3120.0,13000.0,0.0,103.0,16.0,12.0,10.0,42.0,21.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,53.0,0.0,16.0,1.0313
Ethiopia,118550298.0,380895000000.0,3720968976.0,25426000000.0,56904143.0,503000.0,138000.0,5000.0,626000.0,11500.0,104.0,0.0,25.0,9.0,33.0,34.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,142.0,469.0,79.0,0.8525
South Sudan,12703714.0,6752000000.0,30700000.0,2722500000.0,6351857.0,185000.0,0.0,230.0,184120.0,325.0,19.0,0.0,0.0,4.0,15.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,24.0,0.0,15.0,2.4645
Spain,47280433.0,2361000000000.0,39000676350.0,2830012130000.0,21748999.0,121802.0,24033.0,23000.0,85978.0,20840.0,440.0,12.0,136.0,51.0,169.0,108.0,8.0,17.0,0.0,175.0,1.0,0.0,0.0,11.0,0.0,2.0,112.0,6.0,298.0,96.0,188.0,0.0,0.3247
Nigeria,236747130.0,1318000000000.0,3900000000.0,45009000000.0,125475979.0,230000.0,0.0,18000.0,1960000.0,11000.0,159.0,24.0,14.0,12.0,69.0,28.0,12.0,15.0,0.0,152.0,0.0,0.0,0.0,1.0,0.0,0.0,132.0,2.0,330.0,40.0,339.0,37.0,0.6097
Mauritania,4328040.0,33069000000.0,270625000.0,3072000000.0,1687936.0,31540.0,66000.0,1105.0,102540.0,1500.0,23.0,4.0,0.0,7.0,4.0,6.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,51.0,0.0,75.0,0.0,2.7919
Bangladesh,168697184.0,1473000000000.0,3340000000.0,58020000000.0,82661620.0,204000.0,0.0,19000.0,173408.0,22000.0,212.0,0.0,41.0,17.0,67.0,83.0,4.0,0.0,0.0,121.0,0.0,0.0,0.0,7.0,6.0,2.0,61.0,5.0,320.0,36.0,487.0,103.0,0.6517
Beliz,415789.0,5538000000.0,34400000.0,1235000000.0,158000.0,2000.0,850.0,60.0,2850.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,4.3602
Bahrain,1566888.0,93937000000.0,997015509.0,54450000000.0,846120.0,18400.0,110000.0,1500.0,130000.0,700.0,137.0,0.0,28.0,3.0,66.0,40.0,0.0,34.0,0.0,64.0,0.0,0.0,0.0,2.0,2.0,0.0,50.0,0.0,150.0,38.0,26.0,18.0,1.6731
Kyrgyzstan,6172101.0,50907000000.0,654000000.0,3617000000.0,3147772.0,23000.0,0.0,500.0,20000.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,30.0,174.0,21.0,2.3969
Libya,7361263.0,90609000000.0,1474800000.0,3654200000.0,3827857.0,32000.0,0.0,1000.0,85000.0,7500.0,83.0,1.0,10.0,12.0,22.0,35.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,55.0,20.0,38.0,25.0,1.7872
Tanzania,67462121.0,246706000000.0,1476113361.0,17513000000.0,12143182.0,25000.0,0.0,1825.0,21975.0,1200.0,38.0,0.0,11.0,6.0,15.0,6.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,200.0,0.0,205.0,70.0,1.9111
Sudan,50467278.0,94420000000.0,394700000.0,21650000000.0,26747657.0,300000.0,200000.0,13000.0,485500.0,2000.0,183.0,36.0,37.0,13.0,64.0,33.0,0.0,35.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1055.0,100.0,1150.0,800.0,1.3563
Bolivia,12311974.0,122200000000.0,467670000.0,11174000000.0,5417269.0,40000.0,40000.0,10000.0,43000.0,4500.0,67.0,0.0,0.0,15.0,29.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,58.0,0.0,1.8301
United States Of America,341963408.0,25676000000000.0,831500000000.0,24538900710000.0,150463900.0,1333030.0,799500.0,708758.0,1174890.0,612124.0,13032.0,926.0,1791.0,917.0,5913.0,2610.0,611.0,1024.0,610.0,465.0,11.0,9.0,83.0,0.0,27.0,66.0,0.0,4.0,4666.0,1521.0,1878.0,1731.0,0.0741
Nepal,31122387.0,149643000000.0,431355326.0,5719000000.0,15249970.0,98500.0,82000.0,1000.0,97500.0,0.0,17.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.8037
Ghana,34589092.0,243124000000.0,954423756.0,29241000000.0,14873310.0,15500.0,0.0,1860.0,55000.0,1200.0,18.0,0.0,0.0,2.0,9.0,5.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,6.0,6.0,2.4566
Pakistan,252363571.0,1390000000000.0,9102115350.0,89148000000.0,108516336.0,660000.0,550000.0,78000.0,1311500.0,57500.0,1397.0,90.0,331.0,63.0,379.0,563.0,27.0,55.0,4.0,120.0,0.0,0.0,0.0,9.0,6.0,8.0,79.0,3.0,2677.0,662.0,2629.0,652.0,0.2626
Mozambique,33350954.0,51786000000.0,480000000.0,8274000000.0,14674420.0,11200.0,0.0,4000.0,11200.0,1000.0,23.0,2.0,8.0,5.0,7.0,1.0,0.0,2.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,60.0,0.0,104.0,12.0,1.9769
Portugal,10639726.0,556942000000.0,6760000000.0,530000000000.0,5319863.0,25000.0,23500.0,6000.0,12000.0,7000.0,128.0,5.0,28.0,20.0,36.0,23.0,16.0,0.0,4.0,128.0,0.0,0.0,0.0,5.0,2.0,2.0,71.0,0.0,34.0,23.0,54.0,0.0,0.6659
Somalia,13017273.0,26770000000.0,870000000.0,2563000000.0,2993973.0,30000.0,0.0,550.0,29150.0,500.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,3.7393
Guatemala,18255216.0,232673000000.0,616000000.0,11862000000.0,7484639.0,106114.0,90000.0,2210.0,196114.0,3200.0,35.0,3.0,0.0,10.0,20.0,0.0,2.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,110.0,0.0,2.1277
Paraguay,7522549.0,112919000000.0,416800000.0,13783000000.0,3535598.0,15650.0,168500.0,1100.0,180000.0,5400.0,49.0,4.0,0.0,12.0,18.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,50.0,0.0,1.7974
Turkmenistan,5744151.0,134555000000.0,1463000000.0,3696000000.0,2768681.0,36500.0,0.0,3000.0,42760.0,2000.0,91.0,27.0,22.0,5.0,26.0,11.0,0.0,10.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,654.0,73.0,457.0,164.0,1.7459
Panama,4470241.0,164484000000.0,1069750000.0,1227085530000.0,2011608.0,16300.0,0.0,500.0,80000.0,0.0,38.0,0.0,0.0,13.0,23.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,3.5011
Botswana,2450668.0,45553000000.0,581000000.0,1761000000.0,1029281.0,12000.0,0.0,500.0,12000.0,0.0,45.0,0.0,10.0,9.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,12.0,36.0,20.0,2.9993
Nicaragua,6676948.0,52989000000.0,1311600000.0,6753000000.0,3271705.0,45000.0,0.0,815.0,42935.0,1250.0,17.0,0.0,0.0,5.0,12.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,186.0,0.0,347.0,151.0,2.5894
Madagascar,29452714.0,52968000000.0,147630000.0,3548000000.0,11192031.0,13500.0,0.0,300.0,21600.0,500.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,12.0,0.0,17.0,0.0,3.0381
Cambodia,17063669.0,123676000000.0,750000000.0,8019000000.0,8190561.0,124300.0,0.0,1500.0,75000.0,2800.0,24.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,520.0,30.0,525.0,521.0,1.8434
